seed,operator,g_rank,state_index,g,u_m,n_m,delta,one_over_z_m,delta_over_one_over_z_m,induced_probability,target_probability
604,harmonic_mean_circle12,1,436,0.0020562713034451008,0.051642298698425293,0.015581468120217323,3.3143410043254007,3.9835979795621408,0.8319968584504851,0.006815184373408556,0.0081913582098355128
604,harmonic_mean_circle12,2,404,0.0020511958282440901,0.058111950755119324,0.017549704760313034,3.3112779701305231,3.9835979795621408,0.83122794697633717,0.0067920796573162079,0.0081711395570794494
604,harmonic_mean_circle12,3,435,0.0020418234635144472,0.056622818112373352,0.017599483951926231,3.217299908738295,3.9835979795621408,0.8076366955813965,0.0065691582858562469,0.0081338038238787241
604,contrast_circle12,1,304,0.004611065611243248,0.028726246207952499,0.022613883018493652,1.2702925094491799,1.3006526280641419,0.97665778090176991,0.0058574015274643898,0.0059973946054397197
604,contrast_circle12,2,334,0.004603351466357708,0.033278755843639374,0.025534030050039291,1.3033099662850975,1.3006526280641419,1.0020430806532186,0.0059995925985276699,0.0059873611826210746
604,contrast_circle12,3,303,0.0045389244332909584,0.029777649790048599,0.022879458963871002,1.3015014838012797,1.3006526280641419,1.0006526383131222,0.0059074168093502522,0.0059035639927444315
1337,harmonic_mean_circle12,1,467,0.0020186381880193949,0.061164066195487976,0.017082503065466881,3.5805095986860462,4.0518855853564109,0.88366503033206911,0.0072277532890439034,0.00817929097608577
1337,harmonic_mean_circle12,2,403,0.0020109708420932293,0.052060764282941818,0.016656124964356422,3.1256228200947218,4.0518855853564109,0.77139957539541104,0.0062855365686118603,0.0081482237676495997
1337,harmonic_mean_circle12,3,405,0.0019934610463678837,0.0343799889087677,0.012000780552625656,2.8648127309723774,4.0518855853564109,0.70703199056899912,0.005710892379283905,0.0080772760787475358
1337,contrast_circle12,1,303,0.0046008741483092308,0.041953857988119125,0.028090532869100571,1.4935230379437954,1.3245460172976375,1.1275735372266702,0.0068715112283825874,0.0060940695292306521
1337,contrast_circle12,2,304,0.0045574009418487549,0.038733042776584625,0.026193469762802124,1.478728978151272,1.3245460172976375,1.1164043822110472,0.0067391623742878437,0.0060364872667542707
1337,contrast_circle12,3,334,0.0044986903667449951,0.035060059279203415,0.026573337614536285,1.3193698054709047,1.3245460172976375,0.99609208607391875,0.0059354361146688461,0.0059587224083273316
20260719,harmonic_mean_circle12,1,436,0.0019734818488359451,0.046428658068180084,0.013979735784232616,3.3211398830974881,4.113328545551183,0.80740933925385183,0.0065542096272110939,0.0081175792229440172
20260719,harmonic_mean_circle12,2,403,0.0019478888716548681,0.061100110411643982,0.01911555789411068,3.1963550710946471,4.113328545551183,0.77707263976073615,0.006226144265383482,0.0080123068993394522
20260719,harmonic_mean_circle12,3,371,0.001944209448993206,0.063144609332084656,0.019812501966953278,3.1871093028739215,4.113328545551183,0.77482488149918771,0.0061964085325598717,0.0079971722250740899
20260719,contrast_circle12,1,303,0.0043328441679477692,0.047109868377447128,0.033579528331756592,1.4029341899032786,1.3931361581357544,1.0070330754896459,0.0060786954127252102,0.0060362418779356646
20260719,contrast_circle12,2,334,0.0043175923638045788,0.045973151922225952,0.033206388354301453,1.3844670920458813,1.3931361581357544,0.99377730163757017,0.0059775644913315773,0.0060149940381069812
20260719,contrast_circle12,3,302,0.0042899753898382187,0.054123163223266602,0.038316547870635986,1.4125271255123708,1.3931361581357544,1.0139189319460093,0.0060597066767513752,0.0059765198330961507
